Q1,Q2,Q3,Q3_tinder,Q3_bumble,Q3_match,Q3_pof,Q3_okcupid,Q3_hinge,Q3_clover,Q3_grindr,Q3_coffeebean,Q3_meetme,Q3_eharmony,Q3_jda,Q3_aff,Q3_facebook_dating,Q3_never_used,Q5,Q5_short_term,Q5_long_term,Q5_friendship,Q5_validation,Q5_entertainment,Q5_other,Q5_never_used,Q6,Q7,Q13,Q20,Q27,Q28,Q29,Q30,Random ID
35-44,Man,"Bumble,Match,OKCupid",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,5,5,4,1,1,7,43101
25-34,Man,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,5,7,2,2,2,6,75463
25-34,Man,"Bumble,Match,OKCupid",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Personal validation",0,1,1,1,0,0,0,Occasionally,Often,5,5,5,6,6,5,16429
25-34,Woman,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Rarely,Rarely,6,2,3,2,1,2,81535
35-44,Woman,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Occasionally,Often,7,6,1,2,1,3,42653
25-34,Man,"Tinder,Match,Hinge,Coffee & Bagel",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,3,3,2,5,2,6,72316
35-44,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Occasionally,Rarely,3,5,2,3,1,3,31110
45-54,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,3,4,2,2,2,3,34508
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,5,2,1,1,6,36010
25-34,Man,"Tinder,Match,OKCupid,Grindr",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Often,Rarely,4,5,1,5,5,4,35006
Over 55,Man,"Tinder,I have never used a dating app",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Occasionally,Occasionally,5,5,2,2,2,2,97973
35-44,Man,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Rarely,Rarely,2,6,2,5,2,4,37612
25-34,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,4,4,4,4,4,69526
25-34,Woman,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,3,7,7,7,5,7,36775
35-44,Woman,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Making friends,0,0,1,0,0,0,0,Rarely,Rarely,7,5,7,5,1,5,32517
25-34,Man,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Never,1,4,1,1,1,5,40601
25-34,Man,"Tinder,Grindr",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Occasionally,6,7,6,5,6,7,86263
35-44,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,5,6,5,4,3,5,24342
25-34,Man,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,4,7,5,6,5,7,89150
Over 55,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,1,4,2,4,2,1,84586
25-34,Woman,"Tinder,Bumble,Match",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Personal validation",0,1,0,1,0,0,0,Often,Rarely,2,5,4,2,1,7,65226
45-54,Man,"Tinder,Bumble,Match,Grindr",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Occasionally,Occasionally,5,5,3,3,2,5,18861
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,4,4,1,1,1,85042
18-24,Woman,"Tinder,Bumble,Match,Plenty of Fish,Grindr,Other (please describe)",1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,Occasionally,Rarely,3,2,7,6,1,7,27035
35-44,Woman,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Occasionally,Often,7,6,2,2,3,2,64329
35-44,Woman,"Match,Other (please describe)",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Occasionally,5,3,4,3,5,6,21658
35-44,Woman,OKCupid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Personal validation",0,1,0,1,0,0,0,Occasionally,Rarely,6,5,2,2,2,2,93335
25-34,Man,"Tinder,Bumble,Grindr",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,Rarely,Occasionally,6,2,2,2,1,6,10694
Over 55,Man,"Plenty of Fish,Other (please describe)",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Occasionally,Occasionally,5,5,5,3,3,3,60818
35-44,Man,"Bumble,Plenty of Fish,Grindr",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Never,Never,5,5,1,2,2,2,41187
45-54,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Rarely,Never,4,5,2,5,1,7,63547
25-34,Woman,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,Rarely,Rarely,1,7,1,1,1,1,75665
18-24,Woman,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,I have never used a dating app",0,1,0,0,0,1,0,Never,Never,4,6,5,,4,7,93757
35-44,Man,"Tinder,Bumble,Match,OKCupid",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,5,5,5,5,5,5,83655
18-24,Woman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Never,Never,7,7,5,6,7,5,48859
35-44,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,5,4,1,5,4,41723
25-34,Man,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,6,6,6,6,6,6,12364
25-34,Woman,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Rarely,Rarely,5,1,1,1,1,4,87873
25-34,Man,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Rarely,Never,3,5,2,5,2,6,17722
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,6,1,2,1,1,6,90261
35-44,Man,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Rarely,4,5,3,3,2,6,61646
25-34,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,5,5,6,3,3,6,33552
45-54,Woman,"Plenty of Fish,OKCupid",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,5,6,5,5,1,6,90042
35-44,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Coffee & Bagel,Other (please describe)",1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Rarely,2,2,1,5,1,5,58743
25-34,Man,"Tinder,Coffee & Bagel",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,3,6,2,3,2,5,17073
25-34,Man,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,4,4,4,5,4,5,28718
35-44,Man,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Never,1,2,1,2,1,3,96831
18-24,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,4,3,3,2,4,75844
25-34,Woman,Bumble,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,3,6,2,3,2,6,62351
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,3,4,2,2,2,2,70010
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,3,3,1,1,1,6,96644
45-54,Woman,"Match,Plenty of Fish,OKCupid",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Entertainment",0,1,0,0,1,0,0,Rarely,Rarely,4,4,3,2,4,3,31076
25-34,Woman,Bumble,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,Rarely,Occasionally,5,5,6,5,5,5,44614
45-54,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,1,3,1,1,1,1,53353
Over 55,Woman,"OKCupid,Coffee & Bagel",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Never,3,4,2,5,2,4,64270
45-54,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,7,2,3,1,1,2,66153
35-44,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,5,6,6,6,1,7,37432
35-44,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,Rarely,Rarely,1,5,1,1,1,1,14508
35-44,Woman,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,Often,Occasionally,7,7,2,1,1,6,17754
25-34,Woman,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Making friends,0,0,1,0,0,0,0,Rarely,Rarely,5,5,5,3,3,5,58020
25-34,Woman,"Tinder,Bumble,Plenty of Fish,OKCupid,Grindr",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,2,5,4,3,3,3,80755
25-34,Man,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Occasionally,Rarely,3,6,2,3,5,6,80086
25-34,Woman,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,3,5,3,2,1,5,44385
35-44,Man,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Rarely,Rarely,3,4,3,2,2,5,15949
35-44,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,5,4,2,2,6,52533
35-44,Man,"Tinder,Match,Plenty of Fish,OKCupid",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Occasionally,Rarely,2,2,4,2,1,7,91939
18-24,Woman,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,Rarely,Never,7,6,7,6,7,7,98876
Over 55,Woman,"Match,Plenty of Fish,Other (please describe)",0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Occasionally,3,3,4,3,1,5,93079
35-44,Man,OKCupid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,4,4,1,4,1,4,76364
18-24,Woman,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,Often,Occasionally,6,7,6,7,7,6,38963
25-34,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,3,1,4,2,4,23394
25-34,Man,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,5,3,2,2,1,6,69349
25-34,Man,"Tinder,Match,Plenty of Fish,OKCupid,Grindr",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,Rarely,Often,6,6,7,6,5,6,52656
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,6,5,3,3,5,56395
25-34,Woman,"Tinder,Bumble,OKCupid",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,Occasionally,Rarely,5,3,3,4,1,4,56246
18-24,Woman,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,Rarely,Never,2,3,2,6,1,7,67712
Over 55,Man,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Often,Occasionally,3,1,5,4,1,5,47720
25-34,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,Occasionally,Rarely,5,5,7,2,5,4,38486
25-34,Woman,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,Often,Rarely,6,3,2,2,4,6,60869
25-34,Man,"Tinder,Bumble,Coffee & Bagel",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Occasionally,Rarely,5,7,6,6,2,6,58923
25-34,Man,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Entertainment",0,1,0,0,1,0,0,Often,Occasionally,5,4,1,2,1,4,75907
25-34,Man,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,Occasionally,Rarely,5,6,5,4,1,3,95474
35-44,Woman,"OKCupid,Coffee & Bagel",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,5,5,6,3,6,4,24397
25-34,Man,"Tinder,Bumble,Plenty of Fish",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Rarely,Rarely,3,6,2,3,2,6,92286
18-24,Woman,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,4,6,6,4,5,6,57640
18-24,Non-binary,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,4,4,4,1,4,29483
Over 55,Woman,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Occasionally,Often,6,5,4,5,2,6,18567
35-44,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Rarely,Rarely,2,5,3,6,2,7,93310
45-54,Man,"Match,Plenty of Fish,Other (please describe)",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Rarely,3,5,3,5,3,5,59570
35-44,Man,"Tinder,Match,Plenty of Fish,OKCupid",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,3,4,2,5,1,5,63181
25-34,Woman,"Tinder,Plenty of Fish,Grindr",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,7,6,2,4,1,6,82023
45-54,Man,"Tinder,Match",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,3,6,2,5,1,6,28139
25-34,Woman,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,Occasionally,Rarely,5,6,4,7,1,7,99685
25-34,Man,"Tinder,Coffee & Bagel",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Rarely,5,5,2,2,2,5,17109
35-44,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,Often,Often,7,4,7,7,2,7,34041
25-34,Man,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,4,4,4,4,2,5,35478
35-44,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,3,1,4,1,5,57545
45-54,Woman,"Match,OKCupid",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,2,4,2,2,2,6,61954
45-54,Woman,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Often,Occasionally,6,7,7,6,3,3,52661
25-34,Man,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,Occasionally,Occasionally,7,5,3,7,1,7,72121
25-34,Woman,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,2,5,2,1,1,4,77207
35-44,Man,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,4,4,3,5,1,5,26337
25-34,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,7,3,4,2,7,70931
25-34,Man,"Tinder,Match,Plenty of Fish,OKCupid,Coffee & Bagel",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,4,5,2,7,6,6,20166
Over 55,Woman,"Match,Plenty of Fish,OKCupid",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Rarely,Rarely,6,2,6,2,2,2,95238
25-34,Man,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,Often,Occasionally,6,6,6,1,1,5,23854
18-24,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,3,2,1,1,7,56980
